split	label	method	n_truth_het_sites_in_bed	n_pred_sites_nonzero	n_exact_overlap_sites_phased	pct_truth_sites_phased	hamming_errors	hamming_denominator	hamming_error_rate	switch_errors	switch_denominator	switch_error_rate	phased_site_accuracy_pct	truth_correct_pct	raw_block_n50_bp	median_block_span_bp	phasing_coverage_pct	path
train	chr1_15_20mb	AWPhase_Phase6C_Rust_WMEC	5574	4398	3861	0.6926803013993541	7	3861	0.001813001813001813	10	3128	0.00319693094629156	99.81869981869981	69.14244707570865	1594	561	69.26803013993542	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_15_20mb	AWPhase_Phase7A_current	5574	4696	4119	0.7389666307857912	20	4119	0.004855547462976451	23	3386	0.006792675723567632	99.51444525370235	73.5378543236455	3667	787	73.89666307857912	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT	5574	5396	4786	0.8586293505561535	13	4786	0.0027162557459256163	13	4053	0.0032075006168270415	99.72837442540744	85.6297093649085	8894	876	85.86293505561535	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_HMM	5574	5398	4788	0.8589881593110872	13	4788	0.0027151211361737676	13	4055	0.0032059186189889025	99.72848788638262	85.66559024040187	8959	876	85.89881593110871	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5574	5401	4792	0.8597057768209544	15	4792	0.0031302170283806345	16	4059	0.003941857600394186	99.68697829716193	85.70147111589522	10876	764	85.97057768209544	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_15_20mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5574	5426	4817	0.8641908862576246	16	4817	0.003321569441561138	17	4084	0.00416258570029383	99.66784305584389	86.13204162181557	11327	801	86.41908862576247	results/phase7a_windows/chr1_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_15_20mb	WhatsHap_Illumina30x	5574	5496	4853	0.8706494438464298	175	4853	0.036060168967648874	147	4012	0.03664007976071785	96.39398310323512	83.92536777897381	1734	585	87.06494438464298	baselines/whatshap/chr1_15_20mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_15_20mb	WhatsHap_PacBio_HiFi30x	5574	6633	5566	0.9985647649802655	26	5566	0.004671218109953288	35	5556	0.006299496040316775	99.53287818900466	99.39002511661285	617203	306594	99.85647649802655	baselines/whatshap/chr1_15_20mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_20_25mb	AWPhase_Phase6C_Rust_WMEC	5409	3478	3403	0.6291366241449436	13	3403	0.003820158683514546	11	2592	0.004243827160493827	99.61798413164854	62.67332224070993	1284	506	62.91366241449436	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_20_25mb	AWPhase_Phase7A_current	5409	3798	3721	0.6879275281937511	23	3721	0.006181134103735555	25	2910	0.00859106529209622	99.38188658962645	68.36753558883343	4013	807	68.79275281937511	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT	5409	4604	4515	0.8347199112590128	15	4515	0.0033222591362126247	13	3704	0.003509719222462203	99.66777408637874	83.19467554076539	8838	1013	83.47199112590127	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_HMM	5409	4612	4523	0.8361989277130708	14	4523	0.0030952907362370107	13	3712	0.003502155172413793	99.69047092637629	83.36106489184692	9296	1013	83.61989277130708	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5409	4626	4537	0.8387872065076724	16	4537	0.003526559400484902	13	3726	0.003488996242619431	99.64734405995152	83.58291735995563	11886	819	83.87872065076724	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_20_25mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5409	4647	4558	0.8426696246995747	15	4558	0.003290917068889864	13	3747	0.003469442220443021	99.67090829311101	83.9896468848216	12078	849	84.26696246995748	results/phase7a_windows/chr1_20_25mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_20_25mb	WhatsHap_Illumina30x	5409	4683	4552	0.8415603623590312	253	4552	0.055579964850615116	169	3602	0.04691837867851194	94.44200351493849	79.47864669994453	1476	559	84.15603623590313	baselines/whatshap/chr1_20_25mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_20_25mb	WhatsHap_PacBio_HiFi30x	5409	5541	5400	0.9983361064891847	14	5400	0.0025925925925925925	25	5387	0.004640801930573603	99.74074074074075	99.57478276945831	1290036	128944	99.83361064891847	baselines/whatshap/chr1_20_25mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_55_60mb	AWPhase_Phase6C_Rust_WMEC	5542	3893	3804	0.686394803320101	11	3804	0.0028916929547844372	11	2874	0.003827418232428671	99.71083070452156	68.44099603031395	1222	538	68.63948033201011	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_55_60mb	AWPhase_Phase7A_current	5542	4256	4166	0.7517141826055576	18	4166	0.0043206913106096975	21	3236	0.0064894932014833125	99.56793086893903	74.84662576687117	3487	735	75.17141826055575	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_55_60mb	AWPhase_Phase8_PBWT	5542	4970	4879	0.8803680981595092	12	4879	0.0024595203935232628	13	3949	0.0032919726513041276	99.75404796064767	87.82028148682785	7957	786	88.03680981595092	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_55_60mb	AWPhase_Phase8_PBWT_HMM	5542	4976	4885	0.8814507398051245	12	4885	0.0024564994882292734	13	3955	0.0032869785082174463	99.75435005117707	87.92854565138938	7957	805	88.14507398051245	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_55_60mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5542	4982	4891	0.8825333814507398	15	4891	0.003066857493355142	13	3961	0.003281999495077001	99.69331425066449	87.98267773367016	11626	663	88.25333814507398	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_55_60mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5542	5003	4912	0.8863226272103933	15	4912	0.0030537459283387623	13	3982	0.0032646911099949772	99.69462540716613	88.36160230963551	11641	673	88.63226272103934	results/phase7a_windows/chr1_55_60mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_55_60mb	WhatsHap_Illumina30x	5542	4793	4647	0.8385059545290509	98	4647	0.02108887454271573	99	3604	0.02746947835738069	97.89111254572843	82.08228076506676	1338	584	83.85059545290508	baselines/whatshap/chr1_55_60mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_55_60mb	WhatsHap_PacBio_HiFi30x	5542	5691	5538	0.9992782389029231	296	5538	0.05344889851932105	22	5527	0.003980459562149448	94.65511014806789	94.5867917719235	903720	274243	99.92782389029232	baselines/whatshap/chr1_55_60mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_110_115mb	AWPhase_Phase6C_Rust_WMEC	5275	3555	3488	0.6612322274881517	17	3488	0.004873853211009175	9	2647	0.003400075557234605	99.51261467889908	65.80094786729858	1273	511	66.12322274881517	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_110_115mb	AWPhase_Phase7A_current	5275	3900	3833	0.7266350710900474	30	3833	0.007826767545003914	20	2992	0.0066844919786096255	99.21732324549961	72.09478672985782	4806	766	72.66350710900474	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_110_115mb	AWPhase_Phase8_PBWT	5275	4606	4537	0.8600947867298578	19	4537	0.004187789288075821	11	3696	0.002976190476190476	99.58122107119242	85.64928909952607	10072	826	86.00947867298578	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_110_115mb	AWPhase_Phase8_PBWT_HMM	5275	4609	4540	0.8606635071090047	19	4540	0.004185022026431718	11	3699	0.0029737766964044337	99.58149779735683	85.70616113744076	10176	827	86.06635071090048	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_110_115mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5275	4619	4550	0.8625592417061612	21	4550	0.004615384615384616	10	3709	0.0026961445133459154	99.53846153846155	85.85781990521328	11835	715	86.25592417061611	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_110_115mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5275	4651	4582	0.8686255924170616	19	4582	0.004146660846791794	10	3741	0.002673082063619353	99.58533391532082	86.50236966824644	12528	734	86.86255924170617	results/phase7a_windows/chr1_110_115mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_110_115mb	WhatsHap_Illumina30x	5275	4529	4421	0.8381042654028436	147	4421	0.03325039583804569	131	3452	0.03794901506373117	96.67496041619543	81.02369668246445	1398	556	83.81042654028435	baselines/whatshap/chr1_110_115mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_110_115mb	WhatsHap_PacBio_HiFi30x	5275	5385	5270	0.9990521327014218	27	5270	0.005123339658444023	34	5258	0.006466337010270064	99.4876660341556	99.39336492890996	1162160	50079	99.90521327014218	baselines/whatshap/chr1_110_115mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_200_205mb	AWPhase_Phase6C_Rust_WMEC	5412	3506	3430	0.6337767923133777	25	3430	0.007288629737609329	15	2557	0.005866249511145874	99.27113702623906	62.91574279379157	1120	528	63.377679231337765	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_200_205mb	AWPhase_Phase7A_current	5412	3791	3715	0.6864375461936437	33	3715	0.008882907133243608	26	2841	0.009151707145371349	99.11170928667565	68.0339985218034	3023	702	68.64375461936437	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_200_205mb	AWPhase_Phase8_PBWT	5412	4560	4478	0.827420546932742	28	4478	0.006252791424743189	18	3605	0.0049930651872399446	99.37472085752567	82.22468588322246	7736	942	82.7420546932742	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_200_205mb	AWPhase_Phase8_PBWT_HMM	5412	4564	4482	0.8281596452328159	28	4482	0.006247211066488175	18	3609	0.004987531172069825	99.37527889335118	82.29859571322986	7985	942	82.8159645232816	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_200_205mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5412	4597	4514	0.8340724316334073	29	4514	0.006424457244129375	19	3641	0.005218346608074705	99.35755427558706	82.87139689578714	11225	758	83.40724316334072	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_200_205mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5412	4630	4547	0.840169992609017	29	4547	0.0063778315372773255	19	3674	0.005171475231355471	99.36221684627226	83.48115299334812	11654	804	84.0169992609017	results/phase7a_windows/chr1_200_205mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_200_205mb	WhatsHap_Illumina30x	5412	4716	4559	0.8423872875092387	182	4559	0.03992103531476201	145	3541	0.040948884495905113	96.0078964685238	80.87583148558758	1326	570	84.23872875092387	baselines/whatshap/chr1_200_205mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_200_205mb	WhatsHap_PacBio_HiFi30x	5412	5594	5406	0.9988913525498891	20	5406	0.003699593044765076	39	5388	0.007238307349665924	99.63004069552349	99.51958610495197	522404	190023	99.88913525498891	baselines/whatshap/chr1_200_205mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_215_220mb	AWPhase_Phase6C_Rust_WMEC	5791	3974	3907	0.6746675876359869	18	3907	0.004607115433836704	16	2916	0.0054869684499314125	99.53928845661633	67.15593161802798	1117	501	67.46675876359869	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_215_220mb	AWPhase_Phase7A_current	5791	4332	4265	0.736487653255051	29	4265	0.006799531066822978	26	3273	0.007943782462572564	99.32004689331771	73.14798825764117	3525	708	73.6487653255051	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_215_220mb	AWPhase_Phase8_PBWT	5791	5164	5094	0.8796408219651183	21	5094	0.004122497055359246	20	4103	0.004874482086278333	99.58775029446407	87.60145052667933	8608	745	87.96408219651182	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_215_220mb	AWPhase_Phase8_PBWT_HMM	5791	5167	5097	0.8801588672077362	21	5097	0.004120070629782225	20	4106	0.004870920603994155	99.58799293702178	87.65325505094111	8653	745	88.01588672077361	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_215_220mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5791	5182	5112	0.8827490934208254	27	5112	0.00528169014084507	22	4121	0.005338510070371269	99.47183098591549	87.80866862372648	11819	658	88.27490934208254	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_215_220mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5791	5200	5130	0.8858573648765325	24	5130	0.004678362573099415	20	4139	0.004832085044696787	99.53216374269006	88.17130029355897	11819	673	88.58573648765325	results/phase7a_windows/chr1_215_220mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_215_220mb	WhatsHap_Illumina30x	5791	4994	4857	0.8387152477983078	124	4857	0.0255301626518427	114	3751	0.03039189549453479	97.44698373481573	81.73027111034364	1328	526	83.87152477983078	baselines/whatshap/chr1_215_220mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_215_220mb	WhatsHap_PacBio_HiFi30x	5791	5931	5787	0.9993092730098428	17	5787	0.0029376188007603247	30	5781	0.005189413596263622	99.70623811992397	99.6373683301675	982326	923979	99.93092730098428	baselines/whatshap/chr1_215_220mb_whatshap_pacbio/truth_eval.metrics.json
train	chr1_230_235mb	AWPhase_Phase6C_Rust_WMEC	5548	3840	3783	0.6818673395818313	8	3783	0.0021147237642083	6	2980	0.0020134228187919465	99.78852762357917	68.04253785147802	1462	560	68.18673395818313	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr1_230_235mb	AWPhase_Phase7A_current	5548	4114	4056	0.7310742609949531	20	4056	0.004930966469428008	21	3253	0.00645557946510913	99.5069033530572	72.74693583273252	4310	730	73.10742609949531	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr1_230_235mb	AWPhase_Phase8_PBWT	5548	4884	4824	0.8695025234318673	16	4824	0.003316749585406302	12	4020	0.0029850746268656717	99.66832504145937	86.66186012977649	9028	823	86.95025234318673	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr1_230_235mb	AWPhase_Phase8_PBWT_HMM	5548	4889	4829	0.8704037490987744	16	4829	0.0033133153862083247	12	4025	0.0029813664596273293	99.66866846137917	86.7519826964672	9150	838	87.04037490987743	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr1_230_235mb	AWPhase_Phase8_PBWT_V2_exact_prefix	5548	4890	4829	0.8704037490987744	17	4829	0.003520397597846345	12	4025	0.0029813664596273293	99.64796024021535	86.73395818312906	10766	739	87.04037490987743	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr1_230_235mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	5548	4918	4856	0.875270367700072	17	4856	0.003500823723228995	12	4051	0.0029622315477659837	99.6499176276771	87.22062004325883	10794	766	87.52703677000721	results/phase7a_windows/chr1_230_235mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr1_230_235mb	WhatsHap_Illumina30x	5548	4865	4760	0.8579668348954578	123	4760	0.02584033613445378	104	3839	0.027090388121906745	97.41596638655462	83.57966834895458	1658	567	85.79668348954579	baselines/whatshap/chr1_230_235mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr1_230_235mb	WhatsHap_PacBio_HiFi30x	5548	5660	5541	0.9987382840663303	9	5541	0.0016242555495397943	15	5522	0.0027164070988772186	99.83757444504602	99.71160778658977	408737	243416	99.87382840663302	baselines/whatshap/chr1_230_235mb_whatshap_pacbio/truth_eval.metrics.json
train	chr20_10_15mb	AWPhase_Phase6C_Rust_WMEC	3970	2716	2658	0.6695214105793451	11	2658	0.004138449962377728	7	2062	0.0033947623666343357	99.58615500376223	66.67506297229218	1320	512	66.95214105793451	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr20_10_15mb	AWPhase_Phase7A_current	3970	2944	2886	0.7269521410579345	19	2886	0.006583506583506584	17	2290	0.007423580786026201	99.34164934164934	72.21662468513854	4845	787	72.69521410579345	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr20_10_15mb	AWPhase_Phase8_PBWT	3970	3509	3446	0.8680100755667506	13	3446	0.0037724898432965758	12	2849	0.004212004212004212	99.62275101567035	86.4735516372796	9918	934	86.80100755667506	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
train	chr20_10_15mb	AWPhase_Phase8_PBWT_HMM	3970	3512	3449	0.8687657430730479	13	3449	0.0037692084662220935	12	2852	0.004207573632538569	99.62307915337779	86.54911838790932	9918	953	86.8765743073048	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm.metrics.json
train	chr20_10_15mb	AWPhase_Phase8_PBWT_V2_exact_prefix	3970	3503	3440	0.8664987405541562	15	3440	0.00436046511627907	14	2843	0.004924375659514597	99.56395348837209	86.272040302267	12683	769	86.64987405541562	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase8pbwt_v2.metrics.json
train	chr20_10_15mb	AWPhase_Phase8_PBWT_HMM_V2_forward_backward	3970	3515	3452	0.8695214105793451	13	3452	0.0037659327925840093	12	2855	0.004203152364273205	99.6234067207416	86.62468513853905	12683	833	86.95214105793451	results/phase7a_windows/chr20_10_15mb_illumina30x_phase7a/truth_eval_phase8pbwt_hmm_v2.metrics.json
train	chr20_10_15mb	WhatsHap_Illumina30x	3970	3394	3307	0.8329974811083123	84	3307	0.025400665255518595	67	2638	0.02539802880970432	97.45993347444815	81.183879093199	1476	572	83.29974811083123	baselines/whatshap/chr20_10_15mb_whatshap_illumina30x/truth_eval.metrics.json
train	chr20_10_15mb	WhatsHap_PacBio_HiFi30x	3970	4073	3966	0.998992443324937	431	3966	0.10867372667675239	26	3940	0.006598984771573604	89.13262733232476	89.04282115869017	295571	88588	99.89924433249371	baselines/whatshap/chr20_10_15mb_whatshap_pacbio/truth_eval.metrics.json
train	chr20_15_20mb	AWPhase_Phase6C_Rust_WMEC	6250	4323	4259	0.68144	6	4259	0.001408781404085466	8	3267	0.002448729721456994	99.85912185959145	68.048	1285	594	68.144	results/phase7a_windows/chr20_15_20mb_illumina30x_phase7a/truth_eval_phase6c.metrics.json
train	chr20_15_20mb	AWPhase_Phase7A_current	6250	4696	4629	0.74064	27	4629	0.005832793259883344	30	3636	0.00825082508250825	99.41672067401166	73.63199999999999	3919	805	74.064	results/phase7a_windows/chr20_15_20mb_illumina30x_phase7a/truth_eval_phase7a.metrics.json
train	chr20_15_20mb	AWPhase_Phase8_PBWT	6250	5571	5504	0.88064	6	5504	0.0010901162790697674	8	4512	0.0017730496453900709	99.89098837209302	87.968	8194	923	88.064	results/phase7a_windows/chr20_15_20mb_illumina30x_phase7a/truth_eval_phase8pbwt.metrics.json
